Language	Split	Quality	Size	WER	N	Merge	LM_order
hupa	random	top_tier	base	47.294000000000004	5	NONE	NONE
hupa	random	top_tier	large	41.592	5	NONE	NONE
hupa	random	second_tier	base	32.92	5	NONE	NONE
hupa	random	second_tier	large	31.572	5	NONE	NONE
fongbe	random	NONE	base	28.056	5	NONE	NONE
fongbe	random	NONE	large	25.573999999999998	5	NONE	NONE
fongbe	random_large_bpe_200	NONE	large	57.75	1	200	5
fongbe	random_base_bpe_500	NONE	base	62.95	1	500	5
fongbe	random_base_bpe_500	NONE	base	61.18	1	500	10
fongbe	random_base_bpe_3500	NONE	base	67.59	1	3500	10
fongbe	random	top_tier	base	38.64	1	NONE	NONE
fongbe	random	top_tier	medium	38.6	1	NONE	NONE
fongbe	random	top_tier	large	35.91	1	NONE	NONE
iban	random	NONE	base	17.408	5	NONE	NONE
iban	random	NONE	large	15.686	5	NONE	NONE
iban	random_base_bpe_3000	NONE	base	31.76	1	3000	15
iban	random_base_bpe_4000	NONE	base	30.89	1	4000	20
iban	random	top_tier	base	28.86	1	NONE	NONE
iban	random	top_tier	medium	24.1	1	NONE	NONE
iban	random	top_tier	large	19.7	1	NONE	NONE
iban	random	second_tier	base	18.53	1	NONE	NONE
iban	random	second_tier	medium	17.78	1	NONE	NONE
wolof	random	NONE	base	16.028	5	NONE	NONE
wolof	random	NONE	large	14.304	5	NONE	NONE
wolof	random_base_bpe_200	NONE	base	27.66	1	200	5
wolof	random_base_bpe_1500	NONE	base	29.98	1	1500	5
wolof	random_base_bpe_4000	NONE	base	32.8	1	4000	5
wolof	random_base_bpe_4000	NONE	base	32.52	1	4000	10
wolof	random	top_tier	base	51.87	1	NONE	NONE
wolof	random	top_tier	medium	45.71	1	NONE	NONE
wolof	random	top_tier	large	38.69	1	NONE	NONE
wolof	random	second_tier	base	27.1	1	NONE	NONE
wolof	random	second_tier	medium	26.16	1	NONE	NONE
wolof	random	second_tier	large	24.56	1	NONE	NONE
swahili	random	NONE	base	36.954	5	NONE	NONE
swahili	random	NONE	large	29.416	5	NONE	NONE
swahili	random	top_tier	base	56.34	1	NONE	NONE
swahili	random	top_tier	medium	49.09	1	NONE	NONE
swahili	random	top_tier	large	37.13	1	NONE	NONE
swahili	random	second_tier	base	41.45	1	NONE	NONE
swahili	random	second_tier	medium	39.07	1	NONE	NONE
swahili	random	second_tier	large	32.31	1	NONE	NONE
